X,Y,Z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
2835.7123,2053.3276,1155.5273,-0.9813114189877984,-0.1704806957942308,-0.0858479055771704,0.02437967255075419
2575.8034,1945.3486,1033.1824,0.9953993873570102,-0.08100037903585733,0.04489058001753111,0.024573035445907738
2744.5549,2164.5633,819.8911,0.972202180273625,0.07761625688340326,0.21683552309154014,0.04220181588791945
2824.7597,1520.0751,398.8865,0.9655618055859317,-0.16736011203733156,0.06649359163004676,0.1877753838090183
2916.0181,2181.8982,827.8668,0.9788679562957356,0.1972080975500409,0.01251443591215888,0.05262964271115296
3359.6,1541.2344,441.2433,0.9614136497096747,-0.007998541568538929,0.22072131688015242,0.16401804095705733
2673.7711,1662.9669,834.6387,0.9765373276597662,0.20474902350296478,0.010581571300882863,0.06588410590202604
2842.1546,1789.052,473.4022,0.9285875256949887,0.23818255745121564,0.2744422783417151,0.0753373234742623
2649.7107,1878.2187,938.6623,0.9971064563526837,0.030652670894251537,0.05770950011765666,0.03884252905016227
2880.0354,1997.5141,893.9805,0.9890852534090758,0.08768799728328425,0.11243271920892307,0.03714916247291011
2612.3874,1683.3689,1061.0135,0.969734510118434,0.04008380594957177,0.24078932488509533,0.005363712085631524
2986.4728,2077.3913,1208.389,-0.9958908274765454,-0.017641617399165893,-0.08657574274841424,0.019871433043029428
2847.4506,1766.4126,412.1733,0.9868678173175525,0.025167961776213794,0.05176005784105627,0.15092839777593614
2580.1481,2448.4099,956.3051,0.9899076047722005,-0.1042056617284516,0.08703066495331795,0.04061745235343332
2623.0661,1632.3082,622.3364,0.9814496689314404,-0.0557200079457586,0.1318767321377025,0.12751609933483543
2868.4947,1781.1678,870.4045,0.9802273757580444,0.09062561361145507,0.17077971963936048,0.04213759997847796
2590.33,1608.1294,1140.901,-0.9935071470388206,-0.09734727567956411,-0.05782985212788934,0.01107993246444118
2618.8955,2525.9899,758.5008,0.976667380632432,0.20078729956520766,0.059122550816660735,0.048060502773349445
2797.3406,1999.3637,545.8586,0.9805185681320082,0.15865780135298338,0.03998146348628818,0.10868542770623987
3359.5882,2137.8235,566.6555,0.9763252464253765,-0.06072672113603081,0.17111168858500364,0.11756729376014025
2642.3915,1956.0746,1069.9926,0.9929214799122359,0.11785493693326031,0.012021394933752469,0.008522595449700642
2627.8076,2285.3691,805.495,0.9863198784070726,0.08446003592091689,0.13359572445192228,0.046816473590615616
2526.7155,2026.9048,868.9348,0.9392916956596582,0.2433491079848889,0.24167074620573828,-0.010371718089323342
2805.0248,1744.6336,846.6166,0.9812557072433566,0.1643919716145962,0.08804851947478115,0.0485795727575392
3252.7193,1942.8853,1327.3688,-0.9790492797948803,-0.10731530360464302,-0.16045747895282786,0.06480224373794738
2543.3225,2046.3801,995.7275,0.9838816978339413,0.09724848945027253,0.14968071208610512,0.010734076412890562
2915.4066,1601.0906,1020.7515,0.9893294622880207,0.05022721607821211,0.13552217163727207,0.01838974737853492
3105.2674,1993.3531,736.1947,0.9645902695613957,0.172987288756515,0.19408050561359586,0.04442709912784162
2837.9656,1972.531,501.476,0.9852899346504753,0.026371863502570123,0.11596747566814472,0.12271843414508699
2592.7319,2383.13,887.8538,0.9626411155812103,0.26321392155373435,0.05877142329084329,0.02421639728027455
