x,y,z,rx,ry,rz
3217.5715,1957.9307,842.7881,166.7134,-63.6497,-24.6327
3511.9021,2236.7876,1115.9663,179.8692,-55.0875,-46.6583
3417.1236,1854.6945,1036.6267,176.2284,-52.0739,-28.7116
3574.5159,2329.1989,749.7792,169.9358,-56.1041,-30.5712
3583.595,1969.3769,1255.3038,-174.8057,-61.8494,-46.6957
2964.7354,1985.7074,658.1408,165.4052,-47.7447,-23.6895
3486.1138,1992.4936,991.9809,176.0745,-46.0445,-43.8638
3317.2727,2284.8615,818.1955,167.0181,-68.2306,22.0065
3466.8839,1958.9088,1089.1023,177.2237,-73.9259,-11.0372
3121.1617,2393.4636,678.5466,163.5582,-65.2619,10.0136
3500.7081,1817.9585,936.935,171.7143,-59.8656,19.4365
3140.1073,1960.1651,1028.8148,175.5912,-55.9773,9.0287
3123.4323,2072.9944,748.1636,166.6366,-57.986,5.3016
3030.8584,2145.7956,1293.604,-173.8819,-64.7348,-14.5947
3265.313,1902.616,671.9522,148.4957,-72.4787,0.1411
3139.5601,2404.8353,1291.8024,-171.6678,-72.7994,-10.4978
3363.1844,2403.6511,868.9468,171.9278,-60.4562,17.3819
3150.927,1901.995,989.4586,174.6809,-48.606,-23.0983
3643.2254,2350.156,1054.0753,178.0203,-56.1175,-15.3209
3026.4935,2365.4371,1011.3811,175.8248,-55.8063,-8.43
3405.6074,2411.4226,577.3617,165.4284,-56.4959,-26.591
3229.897,1955.4441,1243.1405,-176.1708,-61.3427,-32.9439
3526.0278,2299.087,1168.6415,-178.7666,-59.1448,-12.4126
3321.5121,2177.2241,858.3424,163.0903,-74.2721,-6.2079
3059.6188,2043.207,1266.6536,-173.2674,-70.5256,12.8186
3481.2074,2253.7434,719.7222,170.3838,-47.671,-40.3052
3472.4851,2223.2608,1126.521,179.9108,-54.4753,6.1392
3585.6846,2055.1911,914.7582,173.4802,-54.592,-46.076
3672.5933,2301.4784,1225.6938,-174.7251,-69.6734,1.632
3393.6502,2193.4689,622.5662,163.019,-61.3524,-8.9207
